Millis, ID, Ext, Bus, Len, B0, B1, B2, B3, B4, B5, B6, B7
430,500,0,0,1,2,0,0,0,0,0,0,0
437,534,0,0,2,97,7,0,0,0,0,0,0
444,528,0,0,1,0,0,0,0,0,0,0,0
451,540,0,0,6,9,90,0,8,90,0,0,0
458,520,0,0,8,0,9,4,5,b,5,9,9
465,544,0,0,6,9,80,0,b,90,0,0,0
472,500,0,0,1,2,0,0,0,0,0,0,0
479,500,0,0,1,2,0,0,0,0,0,0,0
486,534,0,0,2,98,7,0,0,0,0,0,0
493,500,0,0,1,2,0,0,0,0,0,0,0
500,500,0,0,1,2,0,0,0,0,0,0,0
507,534,0,0,2,98,7,0,0,0,0,0,0
514,500,0,0,1,2,0,0,0,0,0,0,0
521,540,0,0,6,9,90,0,9,90,0,0,0
528,520,0,0,8,0,9,4,5,b,5,9,9
537,544,0,0,6,9,80,0,b,90,0,0,0
545,534,0,0,2,98,7,0,0,0,0,0,0
552,500,0,0,1,2,0,0,0,0,0,0,0
559,500,0,0,1,2,0,0,0,0,0,0,0
566,534,0,0,2,99,7,0,0,0,0,0,0
573,500,0,0,1,2,0,0,0,0,0,0,0
580,500,0,0,1,2,0,0,0,0,0,0,0
588,550,0,0,4,16,16,16,0,0,0,0,0
595,528,0,0,1,0,0,0,0,0,0,0,0
602,534,0,0,2,97,7,0,0,0,0,0,0
609,500,0,0,1,2,0,0,0,0,0,0,0
616,540,0,0,6,9,90,0,8,90,0,0,0
624,520,0,0,8,0,9,4,5,b,5,9,9
631,544,0,0,6,9,90,0,b,90,0,0,0
638,500,0,0,1,2,0,0,0,0,0,0,0
645,534,0,0,2,a8,7,0,0,0,0,0,0
655,500,0,0,1,2,0,0,0,0,0,0,0
662,504,0,0,3,0,d0,1,0,0,0,0,0
669,500,0,0,1,2,0,0,0,0,0,0,0
677,504,0,0,3,0,d4,1,0,0,0,0,0
684,504,0,0,3,0,d2,1,0,0,0,0,0
691,540,0,0,6,9,90,0,8,90,0,0,0
698,534,0,0,2,ac,7,0,0,0,0,0,0
706,500,0,0,1,2,0,0,0,0,0,0,0
713,504,0,0,3,0,d1,1,0,0,0,0,0
720,534,0,0,2,ad,7,0,0,0,0,0,0
728,500,0,0,1,2,0,0,0,0,0,0,0
735,504,0,0,3,0,d0,1,0,0,0,0,0
743,534,0,0,2,ad,7,0,0,0,0,0,0
750,500,0,0,1,2,0,0,0,0,0,0,0
757,504,0,0,3,0,d1,1,0,0,0,0,0
765,534,0,0,2,ad,7,0,0,0,0,0,0
774,500,0,0,1,2,0,0,0,0,0,0,0
782,504,0,0,3,0,d1,1,0,0,0,0,0
789,504,0,0,3,0,d1,1,0,0,0,0,0
797,500,0,0,1,2,0,0,0,0,0,0,0
804,504,0,0,3,0,d1,1,0,0,0,0,0
811,504,0,0,3,0,d0,1,0,0,0,0,0
819,500,0,0,1,2,0,0,0,0,0,0,0
826,504,0,0,3,0,d1,1,0,0,0,0,0
834,504,0,0,3,0,d1,1,0,0,0,0,0
842,550,0,0,4,16,16,16,0,0,0,0,0
849,504,0,0,3,0,d1,1,0,0,0,0,0
857,534,0,0,2,ae,7,0,0,0,0,0,0
864,570,0,0,1,16,0,0,0,0,0,0,0
872,504,0,0,3,0,d0,1,0,0,0,0,0
880,534,0,0,2,ad,7,0,0,0,0,0,0
888,500,0,0,1,2,0,0,0,0,0,0,0
897,504,0,0,3,0,d1,1,0,0,0,0,0
905,540,0,0,6,9,a0,0,8,90,0,0,0
913,500,0,0,1,2,0,0,0,0,0,0,0
921,504,0,0,3,0,d1,1,0,0,0,0,0
928,504,0,0,3,0,d1,1,0,0,0,0,0
936,500,0,0,1,2,0,0,0,0,0,0,0
944,504,0,0,3,0,d1,1,0,0,0,0,0
952,528,0,0,1,10,0,0,0,0,0,0,0
959,500,0,0,1,2,0,0,0,0,0,0,0
967,504,0,0,3,0,d1,1,0,0,0,0,0
975,504,0,0,3,0,d1,1,0,0,0,0,0
983,500,0,0,1,2,0,0,0,0,0,0,0
991,504,0,0,3,0,d1,1,0,0,0,0,0
998,504,0,0,3,0,d1,1,0,0,0,0,0
1006,500,0,0,1,2,0,0,0,0,0,0,0
1016,500,0,0,1,2,0,0,0,0,0,0,0
1028,504,0,0,3,0,d1,1,0,0,0,0,0
1034,504,0,0,3,0,d1,1,0,0,0,0,0
1041,500,0,0,1,2,0,0,0,0,0,0,0
1048,504,0,0,3,0,d1,1,0,0,0,0,0
1055,550,0,0,4,16,16,16,0,0,0,0,0
1061,524,0,0,8,0,0,9,0,9,0,4,4b
1068,504,0,0,3,0,d1,1,0,0,0,0,0
1075,504,0,0,3,0,d1,1,0,0,0,0,0
1082,500,0,0,1,2,0,0,0,0,0,0,0
1090,504,0,0,3,0,d1,1,0,0,0,0,0
1097,504,0,0,3,0,d1,1,0,0,0,0,0
1104,548,0,0,6,d,d0,0,b,c0,0,0,0
1111,500,0,0,1,2,0,0,0,0,0,0,0
1118,504,0,0,3,0,d1,1,0,0,0,0,0
1125,504,0,0,3,0,d1,1,0,0,0,0,0
1132,504,0,0,3,0,d1,1,0,0,0,0,0
1141,500,0,0,1,2,0,0,0,0,0,0,0
1148,504,0,0,3,0,d1,1,0,0,0,0,0
1155,524,0,0,8,0,0,9,0,9,0,4,4b
1163,500,0,0,1,2,0,0,0,0,0,0,0
1170,504,0,0,3,0,d1,1,0,0,0,0,0
1177,504,0,0,3,0,d1,1,0,0,0,0,0
1184,500,0,0,1,2,0,0,0,0,0,0,0
1192,500,0,0,1,2,0,0,0,0,0,0,0
1199,504,0,0,3,0,d1,1,0,0,0,0,0
1206,504,0,0,3,0,d1,1,0,0,0,0,0
1213,500,0,0,1,2,0,0,0,0,0,0,0
1221,534,0,0,2,ae,7,0,0,0,0,0,0
1228,504,0,0,3,0,d1,1,0,0,0,0,0
1235,500,0,0,1,2,0,0,0,0,0,0,0
1243,500,0,0,1,2,0,0,0,0,0,0,0
1252,500,0,0,1,2,0,0,0,0,0,0,0
1260,504,0,0,3,0,d0,1,0,0,0,0,0
1267,504,0,0,3,0,d1,1,0,0,0,0,0
1274,500,0,0,1,2,0,0,0,0,0,0,0
1282,504,0,0,3,0,d1,1,0,0,0,0,0
1289,504,0,0,3,0,d1,1,0,0,0,0,0
1297,500,0,0,1,2,0,0,0,0,0,0,0
1304,534,0,0,2,ad,7,0,0,0,0,0,0
1312,500,0,0,1,2,0,0,0,0,0,0,0
1319,504,0,0,3,0,d1,1,0,0,0,0,0
1327,534,0,0,2,ae,7,0,0,0,0,0,0
1334,500,0,0,1,2,0,0,0,0,0,0,0
1342,504,0,0,3,0,d1,1,0,0,0,0,0
1349,528,0,0,1,10,0,0,0,0,0,0,0
1357,548,0,0,6,d,d0,0,b,c0,0,0,0
1365,540,0,0,6,9,90,0,8,90,0,0,0
1374,534,0,0,2,ad,7,0,0,0,0,0,0
1382,500,0,0,1,2,0,0,0,0,0,0,0
1389,504,0,0,3,0,d0,1,0,0,0,0,0
1397,504,0,0,3,0,d1,1,0,0,0,0,0
1404,500,0,0,1,2,0,0,0,0,0,0,0
1412,548,0,0,6,d,d0,0,b,c0,0,0,0
1420,540,0,0,6,9,90,0,9,90,0,0,0
1427,500,0,0,1,2,0,0,0,0,0,0,0
1435,504,0,0,3,0,d0,1,0,0,0,0,0
1443,504,0,0,3,0,d1,1,0,0,0,0,0
1451,500,0,0,1,2,0,0,0,0,0,0,0
1458,528,0,0,1,10,0,0,0,0,0,0,0
1466,548,0,0,6,d,d0,0,b,c0,0,0,0
1474,540,0,0,6,9,90,0,8,90,0,0,0
1481,504,0,0,3,0,d1,1,0,0,0,0,0
1489,504,0,0,3,0,d1,1,0,0,0,0,0
1499,504,0,0,3,0,d1,1,0,0,0,0,0
1507,534,0,0,2,ac,7,0,0,0,0,0,0
1514,504,0,0,3,0,d1,1,0,0,0,0,0
1522,54C,0,0,6,d,c0,0,c,90,0,0,0
1530,520,0,0,8,0,9,4,5,b,5,9,9
1538,504,0,0,3,0,d1,1,0,0,0,0,0
1546,504,0,0,3,0,d0,1,0,0,0,0,0
1553,534,0,0,2,ac,7,0,0,0,0,0,0
1561,528,0,0,1,10,0,0,0,0,0,0,0
1569,554,0,0,4,0,0,0,0,0,0,0,0
1577,500,0,0,1,2,0,0,0,0,0,0,0
1585,504,0,0,3,0,d1,1,0,0,0,0,0
1593,534,0,0,2,ad,7,0,0,0,0,0,0
1601,500,0,0,1,2,0,0,0,0,0,0,0
1609,504,0,0,3,0,d1,1,0,0,0,0,0
1619,534,0,0,2,ac,7,0,0,0,0,0,0
1627,548,0,0,6,d,d0,0,b,c0,0,0,0
1635,540,0,0,6,9,a0,0,9,90,0,0,0
1643,534,0,0,2,ac,7,0,0,0,0,0,0
1651,504,0,0,3,0,d1,1,0,0,0,0,0
1659,500,0,0,1,2,0,0,0,0,0,0,0
1667,504,0,0,3,0,d1,1,0,0,0,0,0
1675,504,0,0,3,0,d1,1,0,0,0,0,0
1683,570,0,0,1,16,0,0,0,0,0,0,0
1691,520,0,0,8,0,9,4,5,b,5,9,9
1699,504,0,0,3,0,d1,1,0,0,0,0,0
1708,534,0,0,2,ac,7,0,0,0,0,0,0
1716,500,0,0,1,2,0,0,0,0,0,0,0
1724,504,0,0,3,0,d1,1,0,0,0,0,0
1732,534,0,0,2,ad,7,0,0,0,0,0,0
1740,500,0,0,1,2,0,0,0,0,0,0,0
1751,500,0,0,1,2,0,0,0,0,0,0,0
1759,504,0,0,3,0,d1,1,0,0,0,0,0
1767,510,0,0,3,6b,5,0,0,0,0,0,0
1776,500,0,0,1,2,0,0,0,0,0,0,0
1790,554,0,0,4,0,0,0,0,0,0,0,0
1799,54C,0,0,6,d,c0,0,c,90,0,0,0
1808,520,0,0,8,0,9,4,5,b,5,9,9
1816,500,0,0,1,2,0,0,0,0,0,0,0
1825,504,0,0,3,0,d1,1,0,0,0,0,0
1834,534,0,0,2,ac,7,0,0,0,0,0,0
1842,500,0,0,1,2,0,0,0,0,0,0,0
1851,504,0,0,3,0,d1,1,0,0,0,0,0
1859,540,0,0,6,9,90,0,9,90,0,0,0
1868,504,0,0,3,0,d1,1,0,0,0,0,0
