Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
20272	500	4							
20273	524	0	0	0	0	5	0	5	9
20273	528	0							
20273	544	0b	a0	0	8	d0	5		
20274	520	0	9	4	5	3	5	4	4
20274	512	0	0	0	0				
20274	504	0	1a	1					
20281	500	4							
20281	513	0	0	0	0				
20281	568	18							
20281	534	78	8						
20285	504	0	1a	1					
20285	52c	0							
20287	508	ff	ff	0	0	0			
20287	509	0	0	0	0	0	0		
20287	538	0	0	0	0	0	0	0	0
20287	56c	19							
20290	500	4							
20296	504	0	1a	1					
20299	512	0	0	0	0				
20300	500	4							
20303	540	8	a0	0	0d	c0	0		
20303	534	78	8						
20304	548	11	d0	0	0b	c0	0		
20305	54c	0c	c0	0	0c	90	0		
20305	513	0	0	0	0				
20307	504	0	1a	1					
20310	55c	18							
20310	500	4							
20311	50c	81	1	0					
20317	524	0	0	0	0	5	0	5	9
20317	514	0	2	0					
20318	564	18							
20318	504	0	1a	1					
20321	544	0b	a0	0	9	d0	5		
20321	520	0	9	4	5	3	5	4	4
20321	500	4							
20325	534	79	8						
20325	512	0	0	0	0				
20329	504	0	1a	1					
20331	513	0	0	0	0				
20332	500	4							
20338	508	ff	ff	0	0	0			
20338	509	0	0	0	0	0	0		
20338	538	0	0	0	0	0	0	0	0
20340	504	0	1a	1					
20342	560	18							
20345	500	4							
20347	534	78	8						
20351	504	0	1a	1					
20351	512	0	0	0	0				
20355	540	9	b0	0	0d	c0	0		
20356	500	4							
20356	548	10	d0	0	0b	c0	0		
20356	54c	0c	d0	0	0c	90	0		
20357	513	0	0	0	0				
20358	510	7a	5	0					
20362	504	0	1a	1					
20362	50c	84	1	0					
20366	500	4							
20368	528	0							
20368	534	78	8						
20369	524	0	0	0	0	5	0	5	9
20372	544	0b	a0	0	9	d0	5		
20372	520	0	9	5	5	3	5	4	4
20373	504	0	1a	1					
20377	512	0	0	0	0				
20380	500	4							
20383	513	0	0	0	0				
20384	504	0	1a	1					
20386	52c	0							
20388	500	4							
20389	508	ff	ff	0	0	0			
20389	509	0	0	0	0	0	0		
20389	538	0	0	0	0	0	0	0	0
20390	534	78	8						
20395	504	0	1a	1					
20400	500	4							
20403	512	0	0	0	0				
20406	504	0	1a	1					
20406	540	8	b0	0	0d	c0	0		
20408	548	10	d0	0	0b	c0	0		
20408	54c	0c	d0	0	0c	90	0		
20409	513	0	0	0	0				
20410	500	4							
20412	534	78	8						
20413	50c	80	1	0					
20417	504	0	1a	1					
20418	514	0	2	0					
20419	564	18							
20421	524	0	0	0	0	5	0	5	9
20421	500	4							
20424	544	0c	a0	0	9	d0	5		
20424	520	0	9	5	5	3	5	4	4
20428	504	0	1a	1					
20429	512	0	0	0	0				
20432	500	4							
20435	534	79	8						
