Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
86329,500,4,,,,,,,
86330,504,0,1a,1,,,,,
86337,534,54,8,,,,,,
86337,514,0,4,0,,,,,
86337,554,0,0,0,0,,,,
86337,500,4,,,,,,,
86337,54c,0c,c0,0,0c,90,0,,
86337,504,0,1a,1,,,,,
86337,50c,c1,5,1,,,,,
86340,513,0,0,0,0,,,,
86343,500,4,,,,,,,
86345,504,0,1a,1,,,,,
86348,512,0,0,0,0,,,,
86349,534,49,8,,,,,,
86352,548,0f,d0,0,9b,c0,0,,
86352,524,0,0,0,0,5,0,5,9
86353,560,17,,,,,,,
86354,500,4,,,,,,,
86356,504,0,1a,1,,,,,
86360,540,7,90,0,0c,b0,0,,
86360,544,0a,90,0,7,40,5,,
86365,500,4,,,,,,,
86368,538,0,0,aa,2,aa,2,0f,2
86370,509,ad,5,f5,1,65,3,,
86370,508,0,0,0,0,3,,,
86370,513,0,0,0,0,,,,
86370,504,0,1a,1,,,,,
86371,520,0,9,5,5,3,5,5,4
86371,534,46,8,,,,,,
86373,512,0,0,0,0,,,,
86376,500,4,,,,,,,
86378,504,0,1a,1,,,,,
86384,54c,0b,d0,1,0c,90,0,,
86386,50c,b3,5,1,,,,,
86387,500,4,,,,,,,
86388,52c,0,,,,,,,
86389,504,0,1a,1,,,,,
86392,513,0,0,0,0,,,,
86393,534,53,8,,,,,,
86398,500,4,,,,,,,
86399,512,0,0,0,0,,,,
86400,504,0,1a,1,,,,,
86403,548,0f,d0,0,7c,c0,0,,
86403,524,0,0,0,0,5,0,5,9
86403,510,78,5,0,,,,,
86409,500,4,,,,,,,
86411,504,0,1a,1,,,,,
86412,540,7,90,0,0c,b0,0,,
86412,544,0a,90,0,7,40,5,,
86413,534,49,8,,,,,,
86416,528,0,,,,,,,
86417,508,0,0,0,0,3,,,
86420,509,ab,5,f5,1,65,3,,
86420,538,0,0,aa,2,aa,2,0f,2
86420,564,17,,,,,,,
86420,513,0,0,0,0,,,,
86420,500,4,,,,,,,
86422,504,0,1a,1,,,,,
86423,520,0,9,5,5,3,5,5,4
86425,512,0,0,0,0,,,,
86430,514,0,4,0,,,,,
86431,500,4,,,,,,,
86434,504,0,1a,1,,,,,
86435,534,4b,8,,,,,,
86436,54c,0c,c0,0,0c,90,0,,
86437,50c,b3,5,1,,,,,
86442,500,4,,,,,,,
86444,504,0,1a,1,,,,,
86444,513,0,0,0,0,,,,
86451,512,0,0,0,0,,,,
86451,550,17,17,17,0,,,,
86453,500,4,,,,,,,
86456,548,0f,d0,0,a9,c0,0,,
86456,524,0,0,0,0,5,0,5,9
86456,504,0,1a,1,,,,,
86457,534,51,8,,,,,,
86462,540,7,90,0,0c,b0,0,,
86462,544,0a,90,0,8,40,5,,
86464,500,4,,,,,,,
86466,504,0,1a,1,,,,,
86468,508,0,0,0,0,3,,,
86468,509,ae,5,f5,1,65,3,,
86471,538,0,0,aa,2,aa,2,0f,2
86471,570,17,,,,,,,
86471,513,0,0,0,0,,,,
86473,520,0,9,5,5,3,5,5,4
86475,500,4,,,,,,,
86477,512,0,0,0,0,,,,
86477,504,0,1a,1,,,,,
86478,534,49,8,,,,,,
86486,500,4,,,,,,,
86488,54c,0c,c0,0,0c,90,0,,
86491,50c,ae,5,1,,,,,
86491,504,0,1a,1,,,,,
86491,52c,0,,,,,,,
86491,568,18,,,,,,,
86496,513,0,0,0,0,,,,
86497,500,4,,,,,,,
86497,56c,18,,,,,,,
86499,504,0,1a,1,,,,,
86500,534,4b,8,,,,,,
86503,512,0,0,0,0,,,,
86506,510,77,5,0,,,,,
86506,548,0f,d0,0,82,c0,0,,
86506,524,0,0,0,0,5,0,5,9
86508,500,4,,,,,,,
86510,504,0,1a,1,,,,,
86514,540,7,90,0,0c,b0,0,,
86514,544,0a,90,0,8,40,5,,
86516,55c,18,,,,,,,
86518,528,0,,,,,,,
86518,564,17,,,,,,,
86521,508,0,0,0,0,3,,,
86523,509,ad,5,f4,1,65,3,,
86523,538,0,0,aa,2,aa,2,10,2
86523,500,4,,,,,,,
86523,504,0,1a,1,,,,,
86523,534,51,8,,,,,,
86523,513,0,0,0,0,,,,
86524,520,0,9,5,5,3,5,5,4
86529,512,0,0,0,0,,,,
86530,500,4,,,,,,,
86533,554,0,0,0,0,,,,
86533,514,0,4,0,,,,,
86533,504,0,1a,1,,,,,
86539,50c,af,5,1,,,,,
86540,54c,0c,c0,0,0c,90,0,,
86541,500,4,,,,,,,
86542,534,49,8,,,,,,
86543,504,0,1a,1,,,,,
86548,513,0,0,0,0,,,,
86552,500,4,,,,,,,
86555,504,0,1a,1,,,,,
86555,560,17,,,,,,,
86555,512,0,0,0,0,,,,
86557,548,0e,d0,0,a0,c0,0,,
86557,524,0,0,0,0,5,0,5,9
86563,500,4,,,,,,,
86564,540,7,90,0,0c,b0,0,,
86564,534,4e,8,,,,,,
86564,544,0a,90,0,7,40,5,,
86565,504,0,1a,1,,,,,
86570,508,0,0,0,0,3,,,
86570,509,ad,5,f5,1,65,3,,
86570,538,0,0,aa,2,aa,2,10,2
86574,500,4,,,,,,,
86574,513,0,0,0,0,,,,
86575,520,0,9,5,5,3,5,5,4
86576,504,0,1a,1,,,,,
86581,512,0,0,0,0,,,,
86585,500,4,,,,,,,
86586,534,48,8,,,,,,
86589,504,0,1a,1,,,,,
86590,50c,a0,5,1,,,,,
86592,54c,0c,c0,0,0c,90,0,,
86592,52c,0,,,,,,,
86596,500,4,,,,,,,
86598,504,0,1a,1,,,,,
86600,513,0,0,0,0,,,,
86606,510,78,5,0,,,,,
86606,534,49,8,,,,,,
86607,500,4,,,,,,,
86609,512,0,0,0,0,,,,
86610,548,0e,d0,0,8a,c0,0,,
86610,524,0,0,0,0,5,0,5,9
86610,504,0,1a,1,,,,,
86616,540,7,90,0,0b,a0,0,,
86616,544,0a,90,0,7,40,5,,
86618,500,4,,,,,,,
86618,528,0,,,,,,,
86619,564,17,,,,,,,
86620,504,0,1a,1,,,,,
86623,509,ab,5,f4,1,64,3,,
86623,538,0,0,aa,2,aa,2,0f,2
86623,508,0,0,0,0,3,,,
86626,513,0,0,0,0,,,,
86629,520,0,9,5,5,3,5,5,4
86629,534,4e,8,,,,,,
86629,500,4,,,,,,,
86631,504,0,1a,1,,,,,
86632,514,0,4,0,,,,,
86633,512,0,0,0,0,,,,
86640,500,4,,,,,,,
86641,50c,92,5,1,,,,,
86642,504,0,1a,1,,,,,
86644,54c,0c,c0,0,0c,90,0,,
86650,500,4,,,,,,,
86651,534,48,8,,,,,,
86652,550,17,17,17,0,,,,
86652,513,0,0,0,0,,,,
86653,504,0,1a,1,,,,,
86659,512,0,0,0,0,,,,
86662,548,0f,d0,0,8b,c0,0,,
86662,524,0,0,0,0,5,0,5,9
86662,500,4,,,,,,,
86664,504,0,1a,1,,,,,
86667,540,7,90,0,0c,b0,0,,
86667,544,0a,90,0,7,30,5,,
86670,570,17,,,,,,,
86671,534,49,8,,,,,,
86672,508,0,0,0,0,3,,,
86672,509,ad,5,f5,1,64,3,,
86675,538,0,0,aa,2,aa,2,0f,2
86675,500,4,,,,,,,
86675,504,0,1a,1,,,,,
86678,513,0,0,0,0,,,,
86681,520,0,9,5,5,3,5,5,4
86684,500,4,,,,,,,
86685,512,0,0,0,0,,,,
86686,504,0,1a,1,,,,,
86691,568,18,,,,,,,
86692,50c,97,5,1,,,,,
86695,52c,0,,,,,,,
86695,534,50,8,,,,,,
86695,500,4,,,,,,,
